version,run_number,energy_joules,execution_time_sec,average_power_watts
before,1,44.73542785644531,5.214278,8.579409815979377
before,2,40.67681884765625,5.0109205,8.117634045013535
before,3,40.379486083984375,5.0138507,8.05358765149995
before,4,41.0947265625,5.0147605,8.194753580455139
before,5,40.72325134277344,5.0161757,8.118386152776395
before,6,40.49253845214844,5.0127225,8.077953338160738
before,7,40.7933349609375,5.01088,8.140952280026163
before,8,40.605926513671875,5.017919,8.092184531809277
before,9,41.205322265625,5.0169497,8.213222122921623
before,10,40.94061279296875,5.0136733,8.165791894132543
before,11,40.81683349609375,5.014011,8.140555235338285
before,12,40.85731506347656,5.017413,8.143103839264688
before,13,40.44837951660156,5.014056,8.06699795865893
before,14,41.252838134765625,5.0158668,8.224468427823007
before,15,41.62113952636719,5.016073,8.297554586300317
before,16,41.435150146484375,5.010097,8.270328927061566
before,17,41.299346923828125,5.018291,8.22976326479037
before,18,41.471588134765625,5.015447,8.268772082481506
before,19,41.3785400390625,5.012752,8.254655334846507
before,20,41.21533203125,5.015739,8.217200303135789
before,21,41.01121520996094,5.015822,8.176369737594543
before,22,39.877197265625,5.015911,7.950140515975064
before,23,39.94801330566406,5.014881,7.965894565726298
before,24,40.48701477050781,5.0147214,8.07363192110888
before,25,40.79447937011719,5.0122547,8.138947801299322
before,26,39.879669189453125,5.0105214,7.959185483062327
before,27,40.545654296875,5.0137305,8.086923359138469
before,28,40.8702392578125,5.010747,8.156516235565775
before,29,40.55082702636719,5.0122886,8.090281757991187
before,30,40.548675537109375,5.0131316,8.088492138748038
before,31,40.984527587890625,5.0141706,8.173740157124017
before,32,40.29035949707031,5.0123725,8.038181419491531
before,33,40.50669860839844,5.0123734,8.081340988761617
before,34,40.98246765136719,5.014907,8.172129144442197
before,35,40.79273986816406,5.01579,8.132864387895838
before,36,40.82914733886719,5.0157423,8.140200372508609
before,37,40.74784851074219,5.016373,8.122970223853407
before,38,40.8839111328125,5.0135036,8.154758507167024
before,39,40.76280212402344,5.0131345,8.131200574016804
before,40,40.57240295410156,5.013245,8.093042122238503
after,1,39.87886047363281,5.0133357,7.954556179757285
after,2,39.40495300292969,5.0119767,7.862158058901129
after,3,40.283477783203125,5.015201,8.03227583165722
after,4,40.21516418457031,5.0138,8.0208951662552
after,5,39.66090393066406,5.012777,7.9119625570146175
after,6,40.46771240234375,5.01372,8.071394573758356
after,7,41.33746337890625,5.014772,8.243139145489815
after,8,40.51637268066406,5.0163803,8.076814407524896
after,9,40.500396728515625,5.009883,8.0841003130244
after,10,40.77195739746094,5.0166464,8.127333311245723
after,11,40.46842956542969,5.01082,8.076208996816826
after,12,40.40625,5.016078,8.055347225461805
after,13,40.3660888671875,5.0167212,8.046308985077244
after,14,40.91770935058594,5.0151744,8.158780948990714
after,15,41.44989013671875,5.013448,8.267741110852002
after,16,41.02137756347656,5.0197887,8.17193312608488
after,17,40.69560241699219,5.013878,8.116592070447703
after,18,40.95079040527344,5.0126414,8.16950328927847
after,19,40.46345520019531,5.015929,8.066991219412259
after,20,40.930938720703125,5.014894,8.161875150442487
after,21,41.84300231933594,5.014066,8.34512396113971
after,22,40.862548828125,5.01214,8.152714973668932
after,23,40.932952880859375,5.0160832,8.160341694663154
after,24,41.45530700683594,5.0112047,8.27252317328724
after,25,40.669708251953125,5.0150003,8.109612326833386
after,26,40.47314453125,5.0135665,8.072725181016349
after,27,41.77459716796875,5.017747,8.325369367560532
after,28,40.51753234863281,5.0148916,8.0794433021509
after,29,40.0281982421875,5.014232,7.982917073280116
after,30,40.46257019042969,5.013899,8.070080827401926
after,31,40.456756591796875,5.017933,8.06243459045724
after,32,40.09675598144531,5.018255,7.990179052568136
after,33,40.127410888671875,5.0140643,8.002970940893572
after,34,40.6163330078125,5.010642,8.106013761871733
after,35,40.15696716308594,5.013949,8.009049785525528
after,36,40.732666015625,5.013343,8.124851225145576
after,37,40.47291564941406,5.0129237,8.073714676609592
after,38,40.48518371582031,5.015654,8.071765659238121
after,39,40.394744873046875,5.01091,8.061359089077008
after,40,40.784820556640625,5.0159354,8.131049805115238
