version,run_number,energy_joules,execution_time_sec,average_power_watts
before,1,24.975677490234375,2.4037461,10.390314305755659
before,2,22.5545654296875,2.2040327,10.233317059990762
before,3,22.629974365234375,2.2038093,10.268571951862793
before,4,22.958892822265625,2.204487,10.414619284334917
before,5,27.7486572265625,2.4028392,11.548278897132402
before,6,55.67356872558594,2.6033337,21.385490736583613
before,7,27.349258422851562,2.2034476,12.412030321416113
before,8,22.944854736328125,2.2036552,10.41218006171207
before,9,23.62005615234375,2.204905,10.712505143007862
before,10,23.63348388671875,2.2033675,10.726074468611682
before,11,23.213241577148438,2.2047837,10.528580004083137
before,12,25.756378173828125,2.2036366,11.688124155238722
before,13,26.144775390625,2.4044983,10.873276720813235
before,14,23.135147094726562,2.2042282,10.495803971080019
before,15,22.891464233398438,2.2036998,10.387741666718144
before,16,23.486740112304688,2.2043073,10.654930060025972
before,17,31.847854614257812,2.4041247,13.247172500768288
before,18,25.121734619140625,2.4032204,10.453362754053114
before,19,23.207595825195312,2.2042794,10.528427487547773
before,20,23.201339721679688,2.2044344,10.52484924100245
before,21,23.519683837890625,2.204055,10.671096609608483
before,22,23.198165893554688,2.2036,10.527394215626561
before,23,23.408843994140625,2.204,10.621072592622788
before,24,33.8643798828125,2.4046206,14.083044902307043
before,25,23.839859008789062,2.2032309,10.820408795459915
before,26,23.435012817382812,2.204679,10.629671175433163
before,27,23.179290771484375,2.2039711,10.517057492942795
before,28,23.303253173828125,2.204282,10.571811217361537
before,29,32.219024658203125,2.4041789,13.401259223347783
before,30,23.601486206054688,2.2038567,10.709174605615097
before,31,23.009811401367188,2.2041314,10.4394009365173
before,32,23.240646362304688,2.2039864,10.544822945506692
before,33,23.92333984375,2.2043464,10.852804188919674
before,34,22.8524169921875,2.2044601,10.366446184345772
before,35,23.204071044921875,2.2033129,10.531446098700679
before,36,23.156478881835938,2.204274,10.505263357384763
before,37,23.378433227539062,2.2042866,10.605895452768738
before,38,22.723831176757812,2.2037451,10.311460784079708
before,39,23.446456909179688,2.2044823,10.635810915415236
before,40,23.864578247070312,2.2041316,10.827202081341381
after,1,25.380264282226562,2.404636,10.554721913098932
after,2,23.404632568359375,2.2043402,10.617522907017428
after,3,23.210952758789062,2.204729,10.52780308091791
after,4,22.735885620117188,2.202795,10.32138061876715
after,5,22.894683837890625,2.2032046,10.39153777996407
after,6,56.163665771484375,2.6032312,21.57459766596389
after,7,37.398773193359375,4.006222,9.335172437613137
after,8,25.5548095703125,3.0054874,8.502717253219062
after,9,23.054092407226562,2.204309,10.458648223650389
after,10,22.952362060546875,2.203715,10.415304184319151
after,11,24.911422729492188,2.2037401,11.304156388265652
after,12,23.890777587890625,2.203727,10.84107858545574
after,13,23.3348388671875,2.2039983,10.587503115219056
after,14,23.607513427734375,2.203647,10.712928807442559
after,15,23.461166381835938,2.2037604,10.645969671583144
after,16,23.339263916015625,2.2026606,10.595941978539782
after,17,26.082595825195312,2.204052,11.833929428704637
after,18,23.61187744140625,2.2044425,10.711042561285337
after,19,23.032806396484375,2.2037015,10.451872178007944
after,20,23.638885498046875,2.2036343,10.727227062152226
after,21,23.430328369140625,2.2044559,10.628621951176534
after,22,22.956832885742188,2.2042437,10.414834297016336
after,23,23.581939697265625,2.2042823,10.698239375812085
after,24,23.72064208984375,2.2039256,10.762905104348237
after,25,23.247787475585938,2.20428,10.546658081362594
after,26,23.533355712890625,2.2043278,10.675978279133721
after,27,24.296234130859375,2.2040415,11.023492130642445
after,28,23.79766845703125,2.204216,10.796432135975444
after,29,30.637283325195312,2.404966,12.739175242059686
after,30,23.182281494140625,2.2045157,10.51581601080937
after,31,23.29425048828125,2.2043009,10.567636427622586
after,32,23.187606811523438,2.2047365,10.51717827120086
after,33,23.375946044921875,2.204011,10.606093184163726
after,34,23.081298828125,2.2043507,10.47079252322464
after,35,23.139480590820312,2.2043302,10.49728420488923
after,36,23.549789428710938,2.2041798,10.684150825042012
after,37,23.234970092773438,2.2039804,10.54227618937693
after,38,23.079391479492188,2.20453,10.469075712052994
after,39,23.32220458984375,2.20367,10.583347139019795
after,40,23.42742919921875,2.2044697,10.62724028332925
