version,run_number,energibridge_time_sec
before,1,451.2251
before,2,455.63623
before,4,452.4314
before,5,452.8299
before,6,452.23022
before,7,455.23297
before,8,453.03574
before,9,450.8223
before,10,452.4247
before,11,453.6264
before,13,453.62656
before,14,453.42755
before,15,451.02377
before,16,453.0322
before,17,454.82782
before,18,450.62497
before,19,453.22983
before,20,456.03336
before,22,452.4308
before,23,450.82837
before,24,452.22552
before,25,454.43695
before,26,451.0245
before,27,452.02594
before,28,452.22488
before,30,451.22748
before,31,452.62772
before,32,452.43283
before,33,450.62405
before,34,449.41934
before,35,456.03748
before,36,451.22552
before,37,451.02655
before,39,451.22607
before,40,453.22263
after,1,153.27997
after,2,148.6758
after,3,148.27673
after,4,150.07878
after,5,148.07811
after,6,148.07605
after,7,148.4777
after,8,153.48518
after,9,148.87921
after,10,148.07816
after,11,148.67581
after,12,148.27849
after,13,148.87975
after,14,148.87622
after,15,149.27527
after,16,149.27544
after,17,149.87553
after,18,148.27727
after,19,150.07755
after,21,147.47594
after,22,148.07727
after,23,148.87643
after,24,148.87569
after,25,148.47603
after,26,149.27931
after,27,148.27881
after,28,149.67831
after,29,148.6763
after,30,152.48726
after,31,148.07779
after,32,148.67564
after,33,149.0757
after,34,148.47725
after,35,149.27544
after,36,148.67728
after,37,149.67609
after,38,147.87598
after,39,148.87718
after,40,148.2787
