version,run_number,energy_joules,execution_time_sec,average_power_watts
before,1,222.79891967773438,52.305794,4.2595456954106155
before,2,66.84275817871094,10.423577,6.412650683993694
before,3,62.42530822753906,8.4171715,7.4164234657139945
before,4,58.26658630371094,6.61696,8.80564281841071
before,5,56.03541564941406,6.4128294,8.73801751991314
before,6,56.82244873046875,6.212207,9.146902015735913
before,7,55.88470458984375,6.409285,8.719335244078513
before,8,58.3084716796875,7.2141747,8.08248678531274
before,9,55.854278564453125,6.212042,8.991291199327552
before,10,60.06231689453125,7.814872,7.685643078291141
before,11,58.53041076660156,6.6123037,8.851742663695493
before,12,56.9871826171875,6.61107,8.619963578843894
before,13,54.08815002441406,6.014032,8.993658501387099
before,14,56.69049072265625,6.2106643,9.12792705969573
before,15,55.80146789550781,6.414195,8.69968373202059
before,16,54.76054382324219,6.212677,8.814323330062416
before,17,57.640289306640625,6.4136925,8.98706779388638
before,18,56.76643371582031,6.4116273,8.853670224378188
before,19,55.3819580078125,6.213577,8.913055717795482
before,20,55.748779296875,6.4125085,8.693755228063244
before,21,56.600921630859375,6.4125023,8.826651279463771
before,22,56.77508544921875,6.212736,9.138499599728485
before,23,55.88276672363281,6.4123487,8.71486710066669
before,24,55.1033935546875,5.8141904,9.47739749883105
before,25,55.937774658203125,6.4112024,8.725005259263556
before,26,55.6805419921875,6.009039,9.26613090582163
before,27,55.704742431640625,6.2110457,8.968657633873251
before,28,60.64152526855469,7.612205,7.966354724886506
before,29,57.24937438964844,6.6127863,8.657375543747488
before,30,57.56721496582031,6.4105644,8.98005407539784
before,31,56.58441162109375,6.013165,9.410087968830682
before,32,56.99809265136719,6.414122,8.886343703996772
before,33,56.453460693359375,6.2065167,9.095836428404256
before,34,57.43254089355469,6.614357,8.683011953173178
before,35,54.60627746582031,6.0131187,9.081190674952136
before,36,53.990264892578125,5.8108835,9.291231684919879
before,37,56.3441162109375,6.4120483,8.787225793501507
before,38,56.57414245605469,6.41101,8.824528811537446
before,39,56.69775390625,6.4129267,8.841166687005794
before,40,56.50218200683594,6.4150815,8.807710705910118
after_careful_mock,1,43.839111328125,3.0051503,14.58799292938027
after_careful_mock,2,43.509063720703125,3.005372,14.477097584160338
after_careful_mock,3,43.856536865234375,3.0038943,14.599893499992453
after_careful_mock,4,43.58418273925781,3.0051143,14.503336109131627
after_careful_mock,5,43.71968078613281,3.0071948,14.538360064380536
after_careful_mock,6,43.889923095703125,3.0059764,14.60088745064769
after_careful_mock,7,43.95747375488281,3.0060225,14.623135307497803
after_careful_mock,8,43.369659423828125,3.0066814,14.424428016825502
after_careful_mock,9,44.080535888671875,3.005092,14.668614434656869
after_careful_mock,10,43.78074645996094,3.003702,14.575595868019176
after_careful_mock,11,44.144378662109375,3.2064776,13.767249976144969
after_careful_mock,12,43.83050537109375,3.0074313,14.574067035577421
after_careful_mock,13,43.446075439453125,3.005233,14.456807654998173
after_careful_mock,14,43.34942626953125,3.0066895,14.417659778148442
after_careful_mock,15,44.37321472167969,3.0057561,14.762746292581651
after_careful_mock,16,43.876556396484375,3.007668,14.58823127967727
after_careful_mock,17,43.760040283203125,3.004694,14.563892457336129
after_careful_mock,18,43.84291076660156,3.00688,14.580864805579724
after_careful_mock,19,43.735626220703125,3.005598,14.5513891813553
after_careful_mock,20,43.730194091796875,3.0068617,14.54346706128748
after_careful_mock,21,44.148956298828125,3.0032904,14.70019559175101
after_careful_mock,22,43.2965087890625,3.0053627,14.406417165243482
after_careful_mock,24,43.52729797363281,3.005961,14.480326914964236
after_careful_mock,25,43.90643310546875,3.0075765,14.598608915008064
after_careful_mock,26,44.067901611328125,3.0052686,14.663548413385787
after_careful_mock,27,43.64564514160156,3.0041807,14.528302222832854
after_careful_mock,28,43.59757995605469,3.0053446,14.50668251356423
after_careful_mock,29,44.090606689453125,3.0050628,14.672108246607399
after_careful_mock,30,43.83134460449219,3.0080233,14.571477755671703
after_careful_mock,31,43.85578918457031,3.0041776,14.598267820308065
after_careful_mock,32,44.96778869628906,3.0040681,14.968964483957292
after_careful_mock,33,43.616241455078125,3.0045836,14.51656777167995
after_careful_mock,34,43.86717224121094,3.0058942,14.593717982892057
after_careful_mock,35,44.12652587890625,3.0044084,14.687259521344119
after_careful_mock,36,43.85487365722656,3.006851,14.584983977332618
after_careful_mock,37,43.55918884277344,3.0030015,14.505217144504735
after_careful_mock,38,43.57301330566406,3.0060337,14.495184570174333
after_careful_mock,39,43.631805419921875,3.007069,14.509745343363214
after_careful_mock,40,44.04417419433594,3.0038831,14.66241285965354
