repo_full_name,repo_url,repo_stars,repo_language,issues,median_ttc_days,avg_comments
bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,85669,C++,7,6.1250231481481485,12.571428571428571
HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,8085,Python,7,16.582025462962964,2.857142857142857
aeon-toolkit/aeon,https://github.com/aeon-toolkit/aeon,1238,Python,7,10.635300925925925,1.7142857142857142
equinor/ert,https://github.com/equinor/ert,138,Python,7,2.865763888888889,2.857142857142857
rust-lang/rust,https://github.com/rust-lang/rust,106672,Rust,6,131.66981481481483,13.166666666666666
brave/brave-browser,https://github.com/brave/brave-browser,20237,JavaScript,6,6.480740740740741,3.8333333333333335
apache/pulsar,https://github.com/apache/pulsar,14881,Java,6,29.745983796296294,3.5
CleverRaven/Cataclysm-DDA,https://github.com/CleverRaven/Cataclysm-DDA,11635,C++,6,6.63582175925926,2.3333333333333335
nv-morpheus/Morpheus,https://github.com/nv-morpheus/Morpheus,530,Python,6,13.836030092592594,0.5
ergebnis/phpunit-slow-test-detector,https://github.com/ergebnis/phpunit-slow-test-detector,138,PHP,6,18.951440972222223,3.0
UpMortem/slack-bot,https://github.com/UpMortem/slack-bot,25,Python,6,10.493564814814814,1.3333333333333333
containers/podman,https://github.com/containers/podman,28943,Go,5,14.290891203703703,7.2
systemd/systemd,https://github.com/systemd/systemd,14660,C,5,1.0418865740740741,4.8
schemathesis/schemathesis,https://github.com/schemathesis/schemathesis,2739,Python,5,121.37112268518518,7.6
ChainSafe/forest,https://github.com/ChainSafe/forest,678,Rust,5,13.170462962962963,0.2
connext/monorepo,https://github.com/connext/monorepo,302,TypeScript,5,18.602268518518517,2.6
microsoft/vscode,https://github.com/microsoft/vscode,176963,TypeScript,4,156.96949652777778,7.25
golang/go,https://github.com/golang/go,129979,Go,4,214.35272569444444,26.75
oven-sh/bun,https://github.com/oven-sh/bun,80544,Zig,4,239.10754629629628,4.75
ray-project/ray,https://github.com/ray-project/ray,39072,Python,4,4.97451388888889,12.0
pola-rs/polars,https://github.com/pola-rs/polars,35422,Rust,4,1.5866145833333334,3.25
numpy/numpy,https://github.com/numpy/numpy,30448,Python,4,31.911359953703702,4.25
dotnet/maui,https://github.com/dotnet/maui,22972,C#,4,152.21837962962962,25.5
apache/arrow,https://github.com/apache/arrow,15995,C++,4,7.347835648148148,10.75
apache/doris,https://github.com/apache/doris,14310,Java,4,9.763373842592591,1.0
sympy/sympy,https://github.com/sympy/sympy,13940,Python,4,56.26662615740741,16.0
wazuh/wazuh,https://github.com/wazuh/wazuh,13552,C,4,13.565902777777778,3.75
woocommerce/woocommerce,https://github.com/woocommerce/woocommerce,9991,PHP,4,10.124913194444444,2.5
sktime/sktime,https://github.com/sktime/sktime,9263,Python,4,6.7684375,6.5
