version,run_number,energibridge_time_sec
before,1,52.032017
before,2,50.630203
before,3,50.631886
before,4,50.63408
before,5,50.834522
before,6,50.633163
before,7,50.42963
before,8,50.430187
before,9,50.631138
before,10,50.43408
before,11,50.43018
before,12,50.430737
before,13,50.42805
before,14,50.43008
before,15,50.629833
before,16,50.630123
before,17,50.63223
before,18,50.630398
before,19,50.431026
before,20,50.433277
before,21,50.43006
before,22,50.4297
before,23,50.429153
before,24,51.03177
before,25,50.63023
before,26,50.430588
before,27,50.83176
before,28,50.43005
before,29,50.629387
before,30,50.82974
before,31,50.631405
before,32,50.63127
before,33,50.431293
before,34,50.62995
before,35,51.03347
before,36,50.629936
before,38,50.63016
before,39,50.63157
before,40,50.633675
after,1,6.0048623
after,2,5.2056355
after,3,5.404708
after,4,5.208738
after,5,5.2056465
after,6,5.2050743
after,7,5.2050543
after,8,5.207211
after,9,5.205382
after,10,5.2052073
after,11,5.2051134
after,12,5.2049093
after,13,5.204778
after,14,5.2055
after,15,5.207535
after,16,5.2046547
after,17,5.205742
after,18,5.205132
after,19,5.2051306
after,20,5.8041196
after,21,5.608434
after,22,5.4059753
after,23,5.404481
after,24,5.4072566
after,25,5.4048676
after,26,5.4072475
after,27,5.408062
after,28,5.4080563
after,29,5.6101184
after,30,5.4089227
after,31,5.2041903
after,32,5.205654
after,33,5.2068353
after,34,5.2075214
after,35,5.4073787
after,36,5.205925
after,37,5.2059336
after,38,5.4056983
after,39,5.2050753
after,40,5.2067666
