stage,run,joules,seconds
BEFORE,1,346.56299489784243,14.708683
AFTER,1,151.05816066169737,4.637739
BEFORE,2,304.1839276771545,13.322232
AFTER,2,129.51703488349912,4.2496595
BEFORE,3,286.7704035997392,13.383816
AFTER,3,134.01858779239654,4.3924594
BEFORE,4,279.9871698064803,13.3484335
AFTER,4,133.06243675518039,4.401245
BEFORE,5,270.18482988166807,13.312718
AFTER,5,138.42334297943114,4.4434495
