version,run_number,energy_joules,execution_time_sec,average_power_watts
before,1,107.52354431152344,13.628701,7.889493232812389
before,2,107.65840148925781,13.631393,7.897828306267585
before,3,108.45614624023438,13.629043,7.95772280124396
before,4,108.45085144042969,13.630532,7.95646504776407
before,5,108.32870483398438,13.631928,7.94668992045618
before,6,107.49822998046875,13.630248,7.886740577315156
before,7,107.81071472167969,13.628773,7.910522445540745
before,8,108.89321899414062,13.630452,7.988966102821874
before,9,108.02838134765625,13.62845,7.926681416276704
before,10,108.04704284667969,13.627242,7.92875351055479
before,11,108.61105346679688,13.628988,7.969120925691392
before,12,107.58807373046875,13.630236,7.893339024391709
before,13,108.18824768066406,13.630491,7.937223074404588
before,14,108.54362487792969,13.630431,7.963330350883966
before,15,107.62727355957031,13.630017,7.896341843122449
before,16,107.37870788574219,13.629302,7.878518495352307
before,17,108.22634887695312,13.629463,7.940617240529075
before,18,108.04255676269531,13.628903,7.92745804726142
before,19,108.66046142578125,13.629957,7.972179327182122
before,20,108.0516357421875,13.628708,7.928237639414353
before,21,108.74578857421875,13.628829,7.9790999339869
before,22,108.10125732421875,13.629471,7.931434560022083
before,23,108.154296875,13.62871,7.935769186885626
before,24,108.21531677246094,13.62909,7.940025106038696
before,25,108.29161071777344,13.630167,7.944995150666418
before,26,107.53237915039062,13.628357,7.8903406441723405
before,27,107.87991333007812,13.626757,7.916770903750476
before,28,108.20306396484375,13.629299,7.9390043438656495
before,29,108.01908874511719,13.627939,7.926296760289079
before,30,108.17242431640625,13.629073,7.936887880518818
before,31,108.58195495605469,13.630966,7.965829784628227
before,32,108.2637939453125,13.6263485,7.945180173933794
before,33,107.94927978515625,13.630177,7.9198736586587435
before,34,108.11866760253906,13.630257,7.932254513068907
before,35,107.98391723632812,13.631077,7.921891809159916
before,36,108.50857543945312,13.629488,7.9613097307436
before,37,108.12176513671875,13.631331,7.931856774420543
before,38,107.50381469726562,13.626684,7.88921315686675
before,39,107.283203125,13.6292715,7.8715287992465335
before,40,107.66133117675781,13.628105,7.899948758595404
after,1,89.10275268554688,4.6066318,19.342277949270198
after,2,89.17153930664062,4.605583,19.36161812883203
after,3,89.58116149902344,4.6068068,19.44539143665053
after,4,89.35887145996094,4.607848,19.392755893849134
after,5,89.49235534667969,4.6062937,19.428278172249346
after,6,89.78622436523438,4.6067014,19.49035037635267
after,7,89.44479370117188,4.607907,19.41115428353304
after,8,87.37367248535156,4.406725,19.827348537826065
after,9,89.16433715820312,4.6070585,19.35385390878
after,10,89.62071228027344,4.6072903,19.451935182003496
after,11,89.36305236816406,4.6068735,19.397765614394245
after,12,86.56358337402344,4.4071455,19.64164409230951
after,13,89.43531799316406,4.60647,19.41515259909737
after,14,88.62907409667969,4.60692,19.238249002952013
after,15,89.6907958984375,4.6075706,19.46596236603244
after,16,88.92231750488281,4.606796,19.302421358550024
after,17,89.923095703125,4.6072855,19.51758702670477
after,18,89.91856384277344,4.6066213,19.519417374893276
after,19,90.38169860839844,4.6067467,19.61942005806363
after,20,89.21186828613281,4.6071324,19.363860323643575
after,21,89.79397583007812,4.60598,19.49508591658629
after,22,89.37995910644531,4.6077394,19.397789533506455
after,23,89.16009521484375,4.6069574,19.353357861490917
after,24,89.26638793945312,4.6062427,19.37943650677658
after,25,89.17436218261719,4.606609,19.357918630084992
after,26,89.56373596191406,4.6073394,19.439361459221793
after,27,90.08953857421875,4.608174,19.549942900207057
after,28,89.88816833496094,4.6067047,19.51246589236791
after,29,89.82243347167969,4.607257,19.495859135203375
after,30,89.17160034179688,4.6071334,19.35511577368193
after,31,89.82757568359375,4.606833,19.49876969353865
after,32,89.61529541015625,4.6068516,19.452611716460815
after,33,89.50820922851562,4.607502,19.426624064084102
after,34,89.62501525878906,4.606674,19.455471617654965
after,35,89.7821044921875,4.607395,19.48652210027304
after,36,89.07258605957031,4.6066236,19.33576384655571
after,37,89.72654724121094,4.6077213,19.473084720035246
after,38,89.36964416503906,4.607648,19.39593566284557
after,39,89.37019348144531,4.6066775,19.400141095495684
after,40,88.65292358398438,4.608098,19.238506556063776
