folder,run,energy_joules,runtime_sec
before,1,184.55606733703615,7.363313
before,2,199.34273912429813,7.136732
before,3,176.24820501708984,7.1421523
before,4,178.9524378013611,7.344585
before,5,173.36430030441284,7.15757
after,1,124.93150365829464,5.323453
after,2,118.82945925140382,5.3198633
after,3,121.05604453659058,5.3189383
after,4,114.77655868530273,5.1176066
after,5,123.59302192687987,5.3122716
