project_name,before_avg_energy_j,after_avg_energy_j,energy_reduction_pct,energy_saved_j,before_avg_test_time_s,after_avg_test_time_s,test_time_reduction_pct,test_speedup_ratio,before_avg_exec_time_s,after_avg_exec_time_s,exec_time_reduction_pct,exec_speedup_ratio
python-dts-calibration_197,263.6474391937256,249.61477700257913,5.322510332002648,14.032662191146443,21.97475,16.57075,24.591861113323247,1.3261168021966416,22.947814049999998,17.519530205128206,23.654906009976983,1.3098418611295215
opensearch-build_595,251.4013469696045,9.09080467224121,96.38394750791039,242.3105422973633,100.2465,0.1505,99.84987007027676,666.0897009966777,100.8212862,0.63859913225,99.366602870962,157.87883369771055
pydicom_1636,19.688596725463867,11.525907897949219,41.45896704236718,8.162688827514648,0.582,0.13025,77.62027491408935,4.468330134357005,1.3737573575000002,0.80341352975,41.51707174751201,1.7099007007356166
roms-tools_107,9312.108163272633,7634.889359368219,18.01116110871048,1677.218803904414,340.104,288.51824999999997,15.16763989838403,1.1787954488147632,341.2932397058824,289.7777386111111,15.09420495382974,1.1777759097081864
armi_1737,51.11134338378906,32.68766784667969,36.04615789252136,18.423675537109375,2.02,0.02,99.00990099009901,101.0,3.8042438,2.003011,47.34798542617064,1.8992625602155955
BuffaLogs_399,0.0161688232421875,0.015026516384548612,7.06487318544244,0.0011423068576388896,96.33,62.46,35.16038617253192,1.542267050912584,0.20268490079999998,0.20271349222222224,-0.014106340486834942,0.9998589564912093
detection-rules_2626,793.4974615635016,756.1552146911621,4.706032303967376,37.3422468723395,43.201499999999996,41.2165,4.594747867550878,1.0481603241420303,45.93527215384615,43.91151295,4.405675875976493,1.046087211938029
lightning-thunder_2077,1575.9917935102415,353.874080657959,77.54594395001465,1222.1177128522825,96.51925,18.6585,80.66862309850107,5.1729372671972556,100.03610528205128,22.155720249999998,77.85227624812855,4.515136684940373
patientMatcher_262,110.77482414245605,59.2922721862793,46.474957062419136,51.482551956176756,19.51575,2.85125,85.39000550837144,6.844629548443666,20.844317625,4.2196500725,79.7563530338883,4.93982137543705
dfm_tools_976,61.125587463378906,43.81755613669371,28.315525535120052,17.308031326685196,4.72375,0.03625,99.23260121725325,130.31034482758622,7.7101777375,3.0107058974358973,60.951537047029106,2.560920262608999
