project_name,before_data_count,after_data_count,before_avg_energy_j,after_avg_energy_j,energy_reduction_pct,energy_saved_j,before_avg_test_time_s,after_avg_test_time_s,test_time_reduction_pct,test_speedup_ratio,before_avg_exec_time_s,after_avg_exec_time_s,exec_time_reduction_pct,exec_speedup_ratio
autosubmit_2367,40,37,173.91261291503906,158.7535590094489,8.716477575433679,15.159053905590156,8.889354838709675,3.9819999999999993,55.20484813296077,2.2323844396558705,11.146490225806453,6.206857568421054,44.31558775289748,1.7958347042659752
BazBOM_33,31,39,23.453692528509325,21.35106639372997,8.965011083962546,2.1026261347793564,0.6416216216216217,0.5802631578947367,9.563029308739452,1.1057424771710491,1.603796951612903,1.4035482083333335,12.485916192706547,1.1426732206921186
blueprints_691,39,36,1332.626693334335,16.499704149034287,98.76186600256742,1316.1269891853008,70.5875,0.10000000000000005,99.85833185762353,705.8749999999998,71.85459982051282,1.0046515999999999,98.60182701941206,71.5219085108836
ert_11206,39,40,423.2065738775791,159.6827247619629,62.26837326771907,263.5238491156162,124.00100000000002,4.030750000000001,96.74942137563407,30.7637536438628,127.07061965789472,7.122944195,94.39449951989161,17.839620272062895
nipoppy_697,37,40,68.11880616883974,54.428043365478516,20.098359870587288,13.690762803361224,13.435405405405406,8.35925,37.78192955281528,1.607250100835052,14.726165256756753,9.6273341625,34.624296314461596,1.5296202467052107
ophyd-async_316,39,40,38.151082356770836,18.78587226867676,50.75926786820833,19.365210088094077,7.75,1.6300000000000006,78.96774193548386,4.754601226993864,8.618864141025641,2.206982375,74.39358204412572,3.9052709431019546
pyjelly_235,38,40,288.70255922016344,3.1386985778808594,98.91282620204025,285.5638606422826,133.55179487179487,0.08000000000000004,99.9400981468824,1669.397435897435,133.9510279487179,0.40308737,99.69907855417553,332.31263968582766
quant-mind_58,40,39,75.11696128845215,30.960775913336338,58.78324231667771,44.15618537511581,23.537894736842095,2.515135135135135,89.31452806950324,9.358501023674592,24.254286763157893,3.206101494871795,86.78129962682786,7.565040221575321
SDV_2158,39,39,111.13924310146234,109.56844114645934,1.4133639128430753,1.570801955003006,15.99975,12.421538461538463,22.364171555565168,1.2880650854594995,18.163359749999998,17.661982692307696,2.760376189170081,1.0283873598127047
vulnerablecode_490,35,40,2859.304168701172,412.1800853729248,85.58460167040724,2447.1240833282473,323.1692105263158,32.15921052631579,90.04880122275848,10.049040546622479,335.420207027027,32.971120657894744,90.17020442801228,10.173151543962234
