version,run_number,energibridge_time_sec
before,1,181.55515
before,2,181.9958
before,3,181.00165
before,4,181.17928
before,5,181.40175
before,6,181.79037
before,7,181.56554
before,8,181.75278
before,9,181.37823
before,10,181.58998
before,11,181.39302
before,12,182.39992
before,13,180.79167
before,14,181.1891
before,15,181.58194
before,16,181.59842
before,17,181.5814
before,18,181.36784
before,19,181.79921
before,20,181.19577
before,21,181.39331
before,22,180.76938
before,23,180.78384
before,24,181.39635
before,25,180.75562
before,26,181.98788
before,27,180.3862
before,28,181.18573
before,29,180.79057
before,30,181.79117
before,31,181.38731
before,32,181.3458
before,33,180.9914
before,34,181.19019
before,35,181.98694
before,37,182.20345
before,38,181.59122
before,39,181.3884
before,40,181.38222
after,1,58.50096
after,2,58.099937
after,3,58.299576
after,4,58.094467
after,5,58.697723
after,6,58.498867
after,7,58.101177
after,8,59.105183
after,9,58.096806
after,10,59.29943
after,11,58.503704
after,12,58.896484
after,13,58.10281
after,14,57.696083
after,15,58.898354
after,16,58.705288
after,17,58.70351
after,18,58.699368
after,19,58.29766
after,20,58.101837
after,21,58.29598
after,22,58.29193
after,23,59.49887
after,24,58.4959
after,25,58.10359
after,26,58.898396
after,27,58.497276
after,28,58.293182
after,29,59.501324
after,30,57.70279
after,31,58.307415
after,32,58.10534
after,33,58.70168
after,34,58.099163
after,35,58.702766
after,36,58.104916
after,37,58.103268
after,38,58.094612
after,39,58.305084
after,40,58.302917
