version,run_number,energy_joules,execution_time_sec,average_power_watts
before,1,9.426422119140625,2.2057939,4.273482721636244
before,2,8.394607543945312,2.2059772,3.805391798222263
before,3,9.308792114257812,2.2068608,4.218114760232187
before,4,8.526596069335938,2.206217,3.864803901581729
before,5,9.179611206054688,2.2053945,4.1623442908081465
before,6,8.513870239257812,2.2064848,3.858567364369703
before,7,9.234222412109375,2.206038,4.185885470744101
before,8,8.459548950195312,2.2064204,3.8340603405385996
before,9,9.291473388671875,2.2067258,4.210524655429268
before,10,8.439437866210938,2.2067695,3.824340451601736
before,11,9.123275756835938,2.206293,4.135115216716881
before,12,8.72314453125,2.2065756,3.9532497917814373
before,13,9.105255126953125,2.20728,4.1251019929293635
before,14,8.409896850585938,2.206535,3.8113589182070244
before,15,8.6385498046875,2.2066445,3.914789992084135
before,16,8.474227905273438,2.2080612,3.8378591613644755
before,17,8.560592651367188,2.207683,3.877636712955251
before,18,8.43646240234375,2.206398,3.823635809289054
before,19,8.352951049804688,2.2063963,3.7857890941009495
before,20,8.820648193359375,2.2071624,3.996374799316704
before,21,8.607833862304688,2.207274,3.8997577384161133
before,22,8.655319213867188,2.0072892,4.311944294756922
before,23,8.397262573242188,2.2050338,3.8082239706448893
before,24,9.099044799804688,2.207392,4.122079268115807
before,25,8.485214233398438,2.2048566,3.8484199985606495
before,26,9.23046875,2.205715,4.184796653239426
before,27,8.451507568359375,2.2066114,3.8300842497049437
before,28,9.19354248046875,2.2068062,4.16599449488077
before,29,8.461257934570312,2.2061114,3.835372019096729
before,30,9.250579833984375,2.206434,4.192547719072665
before,31,8.477691650390625,2.2077754,3.8399248630049163
before,32,8.9920654296875,2.204685,4.078616868027632
before,33,8.447250366210938,2.2066667,3.82805902051766
before,34,9.160736083984375,2.2062843,4.152110443782959
before,35,8.510879516601562,2.207028,3.856262592319428
before,36,9.217437744140625,2.2066383,4.177140288075588
before,37,8.577835083007812,2.2049375,3.8902849096665153
before,38,9.045150756835938,2.2061815,4.099912340320113
before,39,8.231155395507812,2.0065575,4.102127846078576
before,40,8.555618286132812,2.2054687,3.8792744082619777
after,1,8.026779174804688,2.2068696,3.637178732628646
after,2,8.298980712890625,2.2079756,3.758637873032032
after,3,7.835052490234375,2.2071013,3.5499288094453907
after,4,8.439315795898438,2.2077584,3.8225721600236864
after,5,7.7573699951171875,2.2076511,3.5138568749007426
after,6,8.301132202148438,2.2081573,3.759302927444724
after,7,7.7838897705078125,2.2051768,3.529825713071085
after,8,8.412689208984375,2.2080903,3.809938936367039
after,9,7.7698822021484375,2.2080104,3.5189518138811473
after,10,8.41119384765625,2.2081513,3.809156486539781
after,11,7.8116607666015625,2.2082148,3.537545698272452
after,12,8.48699951171875,2.2068148,3.8458141171242595
after,13,7.904022216796875,2.2079833,3.579747281963987
after,14,7.798004150390625,2.2068725,3.5335091403742744
after,15,7.8580322265625,2.2075975,3.559540281488134
after,16,7.63507080078125,2.206137,3.4608325778413804
after,17,7.670196533203125,2.0063105,3.823035633419216
after,18,7.7337799072265625,2.2072587,3.5037940533325624
after,19,8.04803466796875,2.2057388,3.648679829165969
after,20,7.5662994384765625,2.207825,3.4270376676034386
after,21,8.401382446289062,2.208234,3.804570732218172
after,22,7.750885009765625,2.2073765,3.5113561323886637
after,23,8.459701538085938,2.2077367,3.831843506558521
after,24,7.6281585693359375,2.2089815,3.4532469236776935
after,25,8.416580200195312,2.2053761,3.8163922245259267
after,26,7.6398162841796875,2.2069228,3.461750580572953
after,27,8.549484252929688,2.2077074,3.872562212243202
after,28,7.7300567626953125,2.2075438,3.501654989901135
after,29,8.36865234375,2.206966,3.791926266082033
after,30,7.6730194091796875,2.2061975,3.4779385840024237
after,31,8.457046508789062,2.2065084,3.83277331225617
after,32,7.6935577392578125,2.2075677,3.485083487703599
after,33,8.359161376953125,2.207636,3.7864762927190556
after,34,7.8578643798828125,2.2074006,3.5597817541060794
after,35,8.396987915039062,2.2077904,3.803344699315235
after,36,7.712982177734375,2.2082992,3.492725160492009
after,37,8.337371826171875,2.2069633,3.777757349282553
after,38,7.679443359375,2.2065775,3.4802509131788937
after,39,8.317153930664062,2.2077522,3.767249753239545
after,40,7.721221923828125,2.2065961,3.499155066859823
