stage,run,joules,seconds
BEFORE,1,90.16669814682005,3.9020278
AFTER,1,33.783076564788814,1.6401386
BEFORE,2,97.9018876171112,3.8871171
AFTER,2,41.93585751724243,1.4457835
BEFORE,3,145.87073490333555,4.1023884
AFTER,3,29.34540148544312,1.4533734
BEFORE,4,124.33433121109009,4.107262
AFTER,4,31.183976623535155,1.4568943
BEFORE,5,100.82229375457763,3.905199
AFTER,5,30.682922920227046,1.4563437
