version,run_number,energy_joules,execution_time_sec,average_power_watts
before,1,1249.52001953125,516.24896,2.4203826377320934
before,2,1315.0607604980469,525.61957,2.501925033913876
before,3,1212.5521087646484,515.4365,2.352476219213518
before,4,1215.8169403076172,514.6113,2.3625927769320594
before,5,1205.956558227539,513.17926,2.3499713496362635
before,7,1234.2037200927734,523.2332,2.3588023850412654
before,8,1222.2274017333984,514.6605,2.3748226291572765
before,9,1228.6556701660156,518.5412,2.3694465746714353
before,10,1236.2438049316406,523.66113,2.360770609290097
before,11,1232.5281982421875,522.5389,2.358730035681913
before,12,1208.6355895996094,514.6378,2.348516936765254
before,13,1217.9044952392578,510.01538,2.3879760160159442
before,14,1222.1990203857422,515.024,2.3730913906647886
before,15,1250.2798614501953,522.8562,2.3912499487434506
before,16,1216.2791442871094,515.04846,2.361484867437735
before,17,1214.8809967041016,514.84753,2.3596908325540604
before,18,1221.1616668701172,516.2589,2.365405549173326
before,19,1208.9344635009766,513.7861,2.3529917673930387
before,20,1209.1891784667969,515.65106,2.3449756478088046
before,21,1332.9641876220703,533.6987,2.4975968418549086
before,22,1214.6692504882812,515.84,2.354740327404391
before,23,1198.336929321289,513.2423,2.3348366440593247
before,24,1242.0762634277344,523.8562,2.371025223005349
before,25,1231.7593688964844,522.882,2.355711936720875
before,26,1382.5425567626953,522.42944,2.646371836860295
before,27,1206.6700286865234,515.669,2.3400088597269244
before,28,1278.911117553711,515.80835,2.4794308148631385
before,29,1242.4552612304688,516.0318,2.407710651224341
before,30,1211.0368957519531,514.6026,2.3533439118884223
before,31,1240.0780639648438,523.6481,2.3681515582026247
before,32,1306.0086975097656,525.46533,2.485432668811405
before,33,1202.447036743164,510.03943,2.3575570162157153
before,34,1206.066650390625,511.0252,2.3600923210648417
before,35,1250.278793334961,514.62256,2.4295063810163335
before,36,1218.9040832519531,515.0332,2.3666514765493822
before,37,1216.3704528808594,515.858,2.357955974087558
before,38,1228.7445220947266,519.2503,2.3663819204239775
before,39,1215.9130554199219,515.26526,2.359780776642931
before,40,1201.920913696289,514.4629,2.3362635356141115
after,1,266.66661071777344,37.6741,7.0782476746033325
after,2,287.9831237792969,44.28672,6.502697056347746
after,3,262.1131591796875,36.27525,7.22567478321135
after,4,300.93397521972656,45.69913,6.5851138789672055
after,5,275.69432067871094,36.87475,7.476506842180922
after,6,249.05160522460938,30.850391,8.072883265064918
after,7,267.3150939941406,36.064884,7.412060274313946
after,8,264.0365447998047,36.06897,7.32032394603463
after,9,268.1670684814453,37.271564,7.194950780209957
after,10,290.1501922607422,43.89206,6.610539406460808
after,11,270.7702941894531,37.47625,7.225117085873136
after,12,288.9013977050781,43.88556,6.583062804828699
after,13,301.1139678955078,45.48497,6.620076211889506
after,14,294.199462890625,44.287643,6.642924368104778
after,15,269.5594482421875,37.272617,7.232104154161956
after,16,250.98609924316406,30.053507,8.351308193189036
after,17,276.2553253173828,37.67064,7.333438596142322
after,18,269.3839874267578,36.470875,7.386277061539045
after,19,272.20477294921875,35.6798,7.629100301829571
after,20,272.81597900390625,37.47027,7.280865043243784
after,21,267.1009826660156,36.265957,7.3650609210730495
after,22,280.17901611328125,36.265785,7.725712158534035
after,23,269.08154296875,36.474243,7.377303018153111
after,24,269.8881378173828,37.27061,7.241312600394328
after,25,271.6564178466797,37.471573,7.249666776643716
after,26,270.2326354980469,36.464653,7.410810559421665
after,27,270.4930877685547,37.27291,7.257096045587926
after,28,270.42579650878906,37.272095,7.255449324992036
after,29,298.7688903808594,45.290573,6.59671252957783
after,30,259.0874328613281,31.459799,8.235508207198912
after,31,297.9357604980469,45.69319,6.520353700366441
after,32,301.694091796875,45.49316,6.631636311851605
after,33,270.20091247558594,37.270256,7.2497734513974335
after,34,254.30030822753906,30.257103,8.404648264823603
after,35,370.9107971191406,48.29526,7.680066265698551
after,36,267.26947021484375,36.26868,7.3691535014465295
after,37,264.0066680908203,36.07055,7.319175008166505
after,38,270.68316650390625,37.26909,7.2629400531085215
after,39,294.85227966308594,45.083595,6.540123511957862
after,40,277.0970458984375,36.86076,7.517399150165041
